"Country or Area","Year","Item","Value"
"China (mainland)","2021","Final consumption expenditure","62092100000000"
"China (mainland)","2021","Household consumption expenditure (including Non-profit institutions serving households)","43884940000000"
"China (mainland)","2021","General government final consumption expenditure","18207160000000"
"China (mainland)","2021","Gross capital formation","48989720000000"
"China (mainland)","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","47890120000000"
"China (mainland)","2021","Changes in inventories","1099600000000"
"China (mainland)","2021","Exports of goods and services","22736705345431"
"China (mainland)","2021","Imports of goods and services","19751410967215"
"China (mainland)","2021","Gross Domestic Product (GDP)","114366970000000"
"China (mainland)","2020","Final consumption expenditure","56081100000000"
"China (mainland)","2020","Household consumption expenditure (including Non-profit institutions serving households)","38718600000000"
"China (mainland)","2020","General government final consumption expenditure","17362500000000"
"China (mainland)","2020","Gross capital formation","43955000000000"
"China (mainland)","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","43062500000000"
"China (mainland)","2020","Changes in inventories","892500000000"
"China (mainland)","2020","Exports of goods and services","18792600000000"
"China (mainland)","2020","Imports of goods and services","16265900000000"
"China (mainland)","2020","Gross Domestic Product (GDP)","101356700000000"
"China (mainland)","2019","Final consumption expenditure","55263200000000"
"China (mainland)","2019","Household consumption expenditure (including Non-profit institutions serving households)","38718800000000"
"China (mainland)","2019","General government final consumption expenditure","16544400000000"
"China (mainland)","2019","Gross capital formation","42667900000000"
"China (mainland)","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","42245100000000"
"China (mainland)","2019","Changes in inventories","422800000000"
"China (mainland)","2019","Exports of goods and services","18247000000000"
"China (mainland)","2019","Imports of goods and services","17107200000000"
"China (mainland)","2019","Gross Domestic Product (GDP)","98651500000000"
"China (mainland)","2018","Final consumption expenditure","50613500000000"
"China (mainland)","2018","Household consumption expenditure (including Non-profit institutions serving households)","35412400000000"
"China (mainland)","2018","General government final consumption expenditure","15201100000000"
"China (mainland)","2018","Gross capital formation","40258500000000"
"China (mainland)","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","39384800000000"
"China (mainland)","2018","Changes in inventories","873700000000"
"China (mainland)","2018","Exports of goods and services","17569400000000"
"China (mainland)","2018","Imports of goods and services","16864000000000"
"China (mainland)","2018","Gross Domestic Product (GDP)","91928100000000"
"China (mainland)","2017","Final consumption expenditure","45651900000000"
"China (mainland)","2017","Household consumption expenditure (including Non-profit institutions serving households)","32069000000000"
"China (mainland)","2017","General government final consumption expenditure","13582900000000"
"China (mainland)","2017","Gross capital formation","35788600000000"
"China (mainland)","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","34830000000000"
"China (mainland)","2017","Changes in inventories","958600000000"
"China (mainland)","2017","Exports of goods and services","16384700000000"
"China (mainland)","2017","Imports of goods and services","14926800000000"
"China (mainland)","2017","Gross Domestic Product (GDP)","83203600000000"
"China (mainland)","2016","Final consumption expenditure","41080600000000"
"China (mainland)","2016","Household consumption expenditure (including Non-profit institutions serving households)","28866800000000"
"China (mainland)","2016","General government final consumption expenditure","12213800000000"
"China (mainland)","2016","Gross capital formation","31819800000000"
"China (mainland)","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","31014500000000"
"China (mainland)","2016","Changes in inventories","805300000000"
"China (mainland)","2016","Exports of goods and services","14617700000000"
"China (mainland)","2016","Imports of goods and services","12920100000000"
"China (mainland)","2016","Gross Domestic Product (GDP)","74639500000000"
"China (mainland)","2015","Final consumption expenditure","37192000000000"
"China (mainland)","2015","Household consumption expenditure (including Non-profit institutions serving households)","26020200000000"
"China (mainland)","2015","General government final consumption expenditure","11171800000000"
"China (mainland)","2015","Gross capital formation","29782700000000"
